"RANK","COMPANY","CITY","STATE","2019 RANK","WEBSITE","PRIMARY OPERATION","REVENUE","2018 REVENUE","LEASED TRUCKS","OWNED TRUCKS","TOTAL TRUCKS","LEASED TRACTORS","OWNED TRACTORS","TOTAL TRACTORS","LEASED TRAILERS","OWNED TRAILERS","TOTAL TRAILERS","COMPANY DRIVERS","INDEPENDENT CONTRACTORS","TOTAL DRIVERS"
"121","C&K Trucking LLC","Chicago Ridge","IL","118","www.cktrucking.com","Intermodal","","","0","0","0","891","1","892","821","72","893","","","892"
"122","National Retail Systems, Inc.","North Bergen","NJ","127","www.nrsonline.com","Dedicated Contract Carriage","","","7","13","20","328","498","826","1537","2749","4286","","","896"
"123","New Legend Inc","Phoenix","AZ","116","www.newlegendinc.com","General Freight","160000000","178000000","0","150","150","0","775","775","100","4000","4100","875","0","875"
"124","Dependable Supply Chain Services","Los Angeles","CA","125","www.godependable.com","General Freight","289000000","291000000","10","75","85","18","530","548","0","2200","2200","765","35","800"
"125","Venture Express, Inc.","La Vergne","TN","133","www.ventureexpress.com","General Freight","","","0","6","6","320","354","674","40","3259","3299","","","1074"
"126","Navajo Express, Inc.","Denver","CO","115","www.navajoexpress.com","Refrigerated","205000000","238000000","0","0","0","50","750","800","0","2000","2000","650","50","700"
"127","Brown Integrated Logistics, Inc.","Lithonia","GA","126","www.brownintegratedlogistics.com","General Freight","178325000","192000000","0","0","0","342","446","788","1514","2315","3829","483","267","750"
"128","TransX Ltd","Winnipeg","MB","86","www.transx.com","General Freight","","338000000","0","0","0","663","65","728","0","2486","2486","","","899"
"129","The Decker Companies","Fort Dodge","IA","140","www.deckertruckline.com","General Freight","","","0","0","0","27","762","789","0","1471","1471","","","782"
"130","K&B Transportation, Inc.","South Sioux City","NE","132","www.kbtransportation.com","Refrigerated","178000000","172000000","0","0","0","0","760","760","0","1475","1475","750","0","750"
"131","Beelman Truck Co.","East Saint Louis","IL","124","www.beelmantruck.com","Tank/Bulk Commodities","","","0","0","0","94","675","769","10","1115","1125","","","836"
"132","Ozark Motor Lines, Inc.","Memphis","TN","137","www.ozark.com","General Freight","","","0","0","0","59","714","773","0","2347","2347","","","745"
"133","National Carriers","Irving","TX","138","www.nationalcarriers.com","Refrigerated","209000000","210000000","0","0","0","210","449","659","1092","250","1342","455","210","665"
"134","Williams Brothers Trucking, Inc.","Hazlehurst","GA","141","www.wbtus.com","Flatbed/Specialized/Heavy Haul","","","0","0","0","60","735","795","122","1383","1505","","","653"
"135","JBS Carriers, Inc.","Greeley","CO","139","www.jbscarriers.com","Refrigerated","164850821","151020058","0","0","0","727","28","755","910","641","1551","707","0","707"
"136","B&W Cartage Company","Taylor","MI","117","www.ilg.com","General Freight","","","0","0","0","627","45","672","0","1567","1567","","","830"
"137","American Eagle Logistics LLC","Lafayette","LA","144","www.aeagle.net","Flatbed/Specialized/Heavy Haul","","","137","0","137","586","0","586","825","0","825","","","732"
"138","American Bulk Commodities","Boardman","OH","145","www.rjtrucking.com","Tank/Bulk Commodities","134173476","147651778","0","50","50","29","640","669","29","1200","1229","550","125","675"
"139","Star Fleet Trucking, Inc.","Middlebury","IN","142","www.starfleettrucking.com","Motor Vehicles","","","0","0","0","566","0","566","26","10","36","","","733"
"140","R.E. Garrison Trucking, Inc.","Cullman","AL","164","www.regarrison.com","Refrigerated","","","0","0","0","534","80","614","0","927","927","","","720"
"141","Spee Dee Delivery Service, Inc.","Saint Cloud","MN","147","www.speedeedelivery.com","Packages","151200000","154000000","0","627","627","0","110","110","0","253","253","1170","0","1170"
"142","Action Enterprise Holdings, LLC","Birmingham","AL","131","www.actn.com","Tank/Bulk Commodities","283589782","291717930","0","0","0","284","234","518","138","964","1102","400","138","538"
"143","McElroy Truck Lines, Inc.","Cuba","AL","151","www.mcelroytrucklines.com","Flatbed/Specialized/Heavy Haul","","","0","0","0","7","629","636","0","1267","1267","","","670"
"144","Benore Logistic Systems, Inc.","Erie","MI","135","www.benorelogistics.com","General Freight","","180000000","1","0","1","284","265","549","1556","544","2000","","","904"
"145","CalArk Inc.","Mabelvale","AR","156","www.calark.com","General Freight","121086000","117428000","15","131","146","173","469","642","9","1771","1780","438","174","612"
"146","Big G Express, Inc.","Shelbyville","TN","177","www.biggexpress.com","General Freight","","","0","0","0","628","18","646","804","1071","1875","","","615"
"147","Eagle Transport Corp.","Rocky Mount","NC","157","www.eagletransportcorp.com","Tank/Bulk Commodities","145000000","141000000","0","0","0","0","480","480","0","515","515","800","0","800"
"148","Ward Transport & Logistics Corp.","Altoona","PA","153","www.wardtlc.com","General Freight","185816359","189206129","26","90","116","88","277","365","0","1033","1033","755","18","773"
"149","Blackhawk Transport","Beloit","WI","160","www.blackhawktransport.com","Dedicated Contract Carriage","129079993","129488000","19","21","40","31","541","572","40","1074","1114","601","31","632"
"150","Fraley and Schilling, Inc.","Rushville","IN","161","www.fraleyandschilling.com","Flatbed/Specialized/Heavy Haul","134000000","128000000","0","0","0","99","550","649","3","861","864","465","85","550"
"151","Transportation Services, Inc.","Romulus","MI","152","www.tsitrucks.com","General Freight","119500000","120100000","0","0","0","250","360","610","930","950","1880","500","170","670"
"152","Aim Integrated Logistics","Girard","OH","159","www.aimntls.com","Dedicated Contract Carriage","105200000","102300000","33","78","111","35","575","610","170","1123","1293","725","1","726"
"153","Tankstar USA, Inc.","Milwaukee","WI","155","www.tankstar.com","Tank/Bulk Commodities","","","0","0","0","706","0","706","1471","0","1471","","","634"
"154","Leonard's Express","Farmington","NY","214","www.leonardsexpress.com","General Freight","215500000","226500000","0","0","0","362","128","490","704","0","704","389","122","511"
"155","Freymiller, Inc.","Oklahoma City","OK","179","www.freymiller.com","Refrigerated","","","0","0","0","71","508","579","0","953","953","","","617"
"156","Cliff Viessman, Inc.","Gary","SD","191","www.viessmantrucking.com","Tank/Bulk Commodities","114995000","95952289","0","0","0","29","530","559","0","800","800","700","29","729"
"157","McClymonds Supply & Transit Co. Inc","Portersville","PA","171","www.mcclymonds.com","Tank/Bulk Commodities","121742000","117108000","75","250","325","95","300","395","85","400","485","490","160","650"
"158","Danny Herman Trucking Inc.","Mountain City","TN","167","www.dannyherman.com","General Freight","107348520","109948308","237","235","472","237","235","472","0","1206","1206","571","18","589"
"159","Milan Express","Milan","TN","206","www.milanexpress.com","General Freight","","","0","1","1","336","239","575","250","1711","1961","","","626"
"160","Jordan Carriers","Natchez","MS","NR","","Flatbed/Specialized/Heavy Haul","","","0","0","0","50","555","605","0","580","580","","","550"
"161","Tri-National, Inc.","Earth City","MO","148","www.tri-nat.com","General Freight","","","0","0","0","0","525","525","0","1682","1682","","","793"
"162","Venezia, Inc.","Royersford","PA","172","www.veneziatransport.com","Tank/Bulk Commodities","123931805","115481000","0","0","0","153","464","617","0","1356","1356","468","47","515"
"163","Wayne Transports","Rosemount","MN","163","www.waynetransports.com","Tank/Bulk Commodities","","","0","0","0","152","440","592","0","820","820","","","598"
"164","M&M Transport Services, Inc.","Putnam","CT","149","www.mmtransport.com","Dedicated Contract Carriage","103000000","89000000","0","35","35","25","600","625","0","3300","3300","650","0","650"
"165","Pride Transport, Inc.","Salt Lake City","UT","168","www.pridetransport.com","Refrigerated","142000000","139000000","0","0","0","500","30","530","0","850","850","550","0","550"
"166","Cypress Truck Lines, Inc.","Jacksonville","FL","175","www.cypresstruck.com","Flatbed/Specialized/Heavy Haul","112449188","112010497","0","0","0","0","650","650","0","1800","1800","543","0","543"
"167","West Side Transport, Inc.","Cedar Rapids","IA","166","www.westsidetransport.com","General Freight","119829000","118500000","0","0","0","10","570","580","209","2175","2384","556","10","566"
"168","Halvor Lines, Inc.","Superior","WI","186","www.halvorlines.com","General Freight","120700000","113550000","0","0","0","182","370","552","10","1558","1568","472","115","587"
"169","Beemac, Inc.","Ambridge","PA","NR","www.beemac.com","Flatbed/Specialized/Heavy Haul","172000000","","10","0","10","400","80","480","250","250","500","50","430","480"
"170","Gypsum Express, Ltd.","Baldwinsville","NY","173","www.gypsumexpress.com","Flatbed/Specialized/Heavy Haul","120000000","123000000","0","0","0","0","590","590","0","1500","1500","515","0","515"
"171","Lily Transportation Corp","Needham","MA","165","","Dedicated Contract Carriage","","","102","0","102","459","0","459","765","0","765","","","750"
"172","Bulkmatic, LLC","Griffith","IN","189","www.bulkmatic.com","Tank/Bulk Commodities","138000000","","0","0","0","0","550","550","0","1400","1400","480","0","480"
"173","A.D. Transport Express Inc.","Canton","MI","174","www.adtransport.com","General Freight","108640000","108105000","0","0","0","0","585","585","0","1535","1535","573","10","583"
"174","Martin Transport, Inc.","Kilgore","TX","169","www.martintransport.com","Tank/Bulk Commodities","120523000","125333281","0","12","12","65","533","598","2","1276","1278","410","61","471"
"175","Admiral Merchants Motor Freight, Inc.","Minneapolis","MN","162","www.ammf.com","Flatbed/Specialized/Heavy Haul","120195000","129758000","0","0","0","512","0","512","550","0","550","0","540","540"
"176","United Petroleum Transports, Inc.","Oklahoma City","OK","170","www.otl-upt.com","Tank/Bulk Commodities","","","0","0","0","333","226","559","24","706","730","","","622"
"177","Indian River Transport Co.","Winter Haven","FL","178","www.indianrivertransport.com","Tank/Bulk Commodities","","","0","0","0","210","356","566","0","1032","1032","","","502"
"178","WEL Companies, Inc.","De Pere","WI","184","www.welcompanies.com","Refrigerated","120284000","118799000","0","0","0","90","410","500","0","800","800","400","90","490"
"179","Midland Transport","Dieppe","NB","183","www.midlandtransport.com","General Freight","","","0","0","0","282","185","467","316","1268","1584","","","709"
"180","The Suddath Companies","Jacksonville","FL","176","www.suddath.com","Household Goods","581523916","561892287","91","157","248","135","34","169","12","362","374","151","233","384"
"181","Wiley Sanders Truck Lines, Inc.","Troy","AL","180","www.wsanders.com","General Freight","109746596","109525013","0","0","0","244","302","546","0","1966","1966","499","0","499"
"182","Cargo Transporters, Inc.","Claremont","NC","182","www.cargotransporters.com","General Freight","","","0","0","0","0","505","505","0","1751","1751","533","0","533"
"183","Oakley Transport, Inc.","Lake Wales","FL","185","www.oakleytransport.com","Tank/Bulk Commodities","","","0","0","0","0","532","532","215","412","627","","","504"
"184","Carroll Fulmer Logistics Corp.","Groveland","FL","194","www.cfulmer.com","General Freight","138635682","146291000","0","1","1","32","436","468","0","1600","1600","346","75","421"
"185","Miller Truck Lines, Inc.","Stroud","OK","221","www.millertrucklines.com","Flatbed/Specialized/Heavy Haul","150588000","","30","5","35","234","190","424","250","1100","1350","190","234","424"
"186","Combined Transport, Inc.","Central Point","OR","158","www.combinedtransport.com","Flatbed/Specialized/Heavy Haul","133104633","137017397","0","1","1","0","462","462","0","744","744","377","66","443"
"187","Dillon Transport, Inc.","Burr Ridge","IL","190","www.dillontransport.com","Tank/Bulk Commodities","","","0","0","0","0","490","490","0","667","667","","","554"
"188","Sharkey Transportation, Inc.","Quincy","IL","192","www.shke.com","General Freight","","","0","0","0","531","0","531","1660","0","1660","","","442"
"189","NAPA Transportation, Inc.","Mechanicsburg","PA","NR","www.napatran.com","General Freight","135448268","","0","0","0","102","350","452","200","1300","1500","302","102","404"
"190","W.W. Transport Inc.","West Burlington","IA","197","www.wwtransportinc.com","Tank/Bulk Commodities","","","0","0","0","0","500","500","89","775","864","","","472"
"191","Buddy Moore Trucking, Inc.","Birmingham","AL","212","buddymooretrucking.com","General Freight","87452000","81749285","65","350","415","65","350","415","150","875","1025","350","65","415"
"192","Midwest Transport, Inc.","Robinson","IL","188","www.mwtransport.com","General Freight","","","0","14","14","0","421","421","0","636","636","","","646"
"193","Schuster Company","Le Mars","IA","199","www.schusterco.com","Refrigerated","107112500","103403000","0","0","0","70","405","475","0","900","900","380","70","450"
"194","Western Dairy Transport LLC","Cabool","MO","198","www.wdtmilk.com","Tank/Bulk Commodities","","","0","0","0","10","419","429","1183","0","1183","","","630"
"195","Slay Transportation Co., Inc.","Saint Louis","MO","207","www.slay.com","Tank/Bulk Commodities","","","0","0","0","268","202","470","45","1031","1076","","","425"
"196","Hartt Transportation Systems, Inc.","Bangor","ME","200","www.hartt-trans.com","General Freight","143450992","154146463","0","0","0","17","373","390","0","2115","2115","395","17","412"
"197","Outwest Express LLC","El Paso","TX","203","www.outwestexpress.com","General Freight","82000000","75000000","1","0","1","48","475","523","25","1323","1348","450","49","499"
"198","Hilco Transport","Greensboro","NC","NR","","Tank/Bulk Commodities","","","0","93","93","97","307","404","60","711","771","","","503"
"199","Fremont Contract Carriers","Fremont","NE","220","www.fcc-inc.com","General Freight","102051897","98949373","0","1","1","139","325","464","0","1304","1304","318","141","459"
"200","Saddle Creek Transportation Inc","Lakeland","FL","150","www.sclogistics.com","General Freight","","178000000","0","0","0","209","200","409","925","875","1800","","","552"
"201","PI&I Motor Express, Inc.","Sharon","PA","205","www.piimx.com","Flatbed/Specialized/Heavy Haul","81500000","81000000","0","0","0","495","0","495","705","0","705","255","217","472"
"202","Bay & Bay Transfer Co., Inc.","Eagan","MN","209","www.bayandbay.com","Refrigerated","153590363","142869696","0","0","0","150","230","380","240","350","590","135","215","350"
"203","Warren Transport","Waterloo","IA","NR","","Flatbed/Specialized/Heavy Haul","","","0","0","0","450","6","456","0","1600","1600","","","460"
"204","Midwest Motor Express","Bismarck","ND","195","www.mmeinc.com","General Freight","106000000","120045000","0","15","15","0","425","425","0","740","740","425","0","425"
"205","Andy Transport","Saint-Laurent","QC","238","www.andytransport.com","General Freight","","","0","0","0","0","415","415","0","915","915","430","80","510"
"206","Salem Carriers, Inc.","Winston Salem","NC","181","www.salemcarriers.com","Dedicated Contract Carriage","82182252","90057025","33","0","33","466","0","466","1501","0","1501","453","0","453"
"207","Heyl Truck Lines, Inc.","Akron","IA","208","www.heyl.net","Refrigerated","91632742","86855000","0","0","0","19","430","449","0","949","949","440","19","459"
"208","Florida Rock & Tank Lines","Jacksonville","FL","196","www.floridarockandtanklines.com","Tank/Bulk Commodities","105470884","114218912","0","0","0","51","303","354","0","471","471","452","21","473"
"209","Nussbaum Transportation Services, Inc","Hudson","IL","216","www.nussbaum.com","General Freight","92752525","84721834","0","0","0","3","453","456","38","1006","1044","414","3","417"
"210","Titan Transfer, Inc.","Shelbyville","TN","217","www.titantransferinc.com","General Freight","84450000","85977387","0","10","10","15","435","450","0","1400","1400","425","15","440"
"211","Coastal Transport Co., Inc.","San Antonio","TX","211","www.coastaltransport.com","Tank/Bulk Commodities","94164499","95331742","0","0","0","0","400","400","48","466","514","450","0","450"
"212","D.M. Bowman, Inc.","Williamsport","MD","219","www.dmbowman.com","General Freight","104022158","101003041","0","0","0","0","379","379","0","1540","1540","450","0","450"
